Refs,HPN,datasheet,footprint,value
C1,52-100n,,tera_rlc:C_0603in,100n
C10,52-100n,,tera_rlc:C_0603in,100n
C11,52-100n,,tera_rlc:C_0603in,100n
C12,52-100n,,tera_rlc:C_0603in,100n
C14,52-10p0,,tera_rlc:C_0402in,10p
C15,52-47n0,,tera_rlc:C_0603in,47n
C16,52-10p0,,tera_rlc:C_0402in,10p
C17,52-100n,,tera_rlc:C_0603in,100n
C18,54-2u20,,tera_rlc:TantalC_SizeP-2012mm_H1.2mm,2u2
C19,52-100n,,tera_rlc:C_0603in,100n
C2,52-100n,,tera_rlc:C_0603in,100n
C20,52-100n,,tera_rlc:C_0603in,100n
C21,52-100n,,tera_rlc:C_0603in,100n
C22,52-100n,,tera_rlc:C_0603in,100n
C23,55-1u00,,tera_rlc:TantalC_SizeM-1608mm_H0.9mm,1u
C24,55-1u00,,tera_rlc:TantalC_SizeM-1608mm_H0.9mm,1u
C25,52-100n,,tera_rlc:C_0603in,100n
C26,52-100n,,tera_rlc:C_0603in,100n
C27,54-2u20,,tera_rlc:TantalC_SizeP-2012mm_H1.2mm,2u2
C28,54-2u20,,tera_rlc:TantalC_SizeP-2012mm_H1.2mm,2u2
C29,50-100p,,tera_rlc:R_0603in,100p
C3,52-100n,,tera_rlc:C_0603in,100n
C4,52-100n,,tera_rlc:C_0603in,100n
C5,52-100n,,tera_rlc:C_0603in,100n
C6,52-100n,,tera_rlc:C_0603in,100n
C7,52-100n,,tera_rlc:C_0603in,100n
C8,52-100n,,tera_rlc:C_0603in,100n
C9,52-100n,,tera_rlc:C_0603in,100n
D1,21-0003,,tera_diodes:LED_0805,LED1
D12,21-9011,,tera_sot:SOT-23,SUPPRESSOR
D13,21-9011,,tera_sot:SOT-23,SUPPRESSOR
D14,21-9011,,tera_sot:SOT-23,SUPPRESSOR
D15,21-9011,,tera_sot:SOT-23,SUPPRESSOR
D18,21-0002,,tera_diodes:LED_0805,3v3_ok
D19,21-0002,,tera_diodes:LED_0805,5v_ok
D2,21-0001,,tera_diodes:LED_0805,LED2
D3,21-0004,,tera_diodes:LED_0805,LED3
IC1,23-2006,,tera_atomic_ic:LM4132A,LM4132A-3.3
JP1,,,tera_general:SOLDERJUMPER_2,No_Can2
JP10,,,tera_general:SOLDERJUMPER_2_1mm,No_Can1
JP11,,,tera_general:SOLDERJUMPER_2_1mm,No_Can1
JP2,,,tera_general:SOLDERJUMPER_2,No_Can2
JP3,,,tera_general:SOLDERJUMPER_2,No_Can2
JP4,,,tera_general:SOLDERJUMPER_2,No_vbat
JP5,,,tera_general:SOLDERJUMPER_2,CAN1_to_bottom
JP6,,,tera_general:SOLDERJUMPER_2,CAN1_to_bottom
JP7,,,tera_general:SOLDERJUMPER_2_1mm,No_Can1
JP8,,,tera_general:SOLDERJUMPER_2_1mm,No_Can1
JP9,,,tera_general:SOLDERJUMPER_2_1mm,No_Can1
L1,97-1001,,tera_rlc:L_ACT45B-XXX-2P_common-mode-choke,CM_CHOKE
L2,97-1001,,tera_rlc:L_ACT45B-XXX-2P_common-mode-choke,CM_CHOKE
P1,09-0315,,tera_Connectors_other:DF17-40DS-0.5V,Left
P2,09-0315,,tera_Connectors_other:DF17-40DS-0.5V,Right
P3,09-0403,,tera_Connectors_other:Samtec_FTSH-107-01-L-DV-K,TERA_Debug_14pol
P4,02-2902,,tera_Connectors_JST:JST_PH_B2B-PH-K_02x2.00mm_Straight,CAN_CON_2pol
R1,11-3K30,,tera_rlc:R_0805in,3k3
R2,11-3K30,,tera_rlc:R_0805in,3k3
R23,11-56K0,,tera_rlc:R_0603in,56k
R24,11-60R4,,tera_rlc:R_0603in,60R
R25,11-60R4,,tera_rlc:R_0603in,60R
R26,11-56K0,,tera_rlc:R_0603in,56k
R27,11-60R4,,tera_rlc:R_0603in,60R
R28,11-60R4,,tera_rlc:R_0603in,60R
R3,11-3K30,,tera_rlc:R_0805in,3k3
R4,10-0R00,,tera_rlc:R_0402in,0R
R5,11-10K0,,tera_rlc:R_0603in,10k
R6,11-3K30,,tera_rlc:R_0805in,3k3
R7,11-5K10,,tera_rlc:R_0805in,5k1
R8,11-56K0,,tera_rlc:R_0603in,56k
S1,95-0003,,tera_switches:CuK_JS202011CQN_DPDT,Switch_CAN_R
S2,95-0010,,tera_switches:button_6x6mm,Button_NO_01x02
U1,20-0020,,tera_atomic_ic:STM32-F405RGT6,STM32-F405RGT6
U2,20-1001,,tera_atomic_ic:SN65HVD230,SN65HVD230
U3,20-1001,,tera_atomic_ic:SN65HVD230,SN65HVD230
U4,20-1001,,tera_atomic_ic:SN65HVD230,SN65HVD230
Y1,29-0001,,tera_general:Quarz_5x3.2mm_2pol,8MHz
x1,,,footprints_stm32f4_board:Via,gnd_contact
x12,,,footprints_stm32f4_board:Via,gnd_contact
x15,,,footprints_stm32f4_board:Via,gnd_contact
x2,,,footprints_stm32f4_board:Via,gnd_contact
x3,,,footprints_stm32f4_board:Via,gnd_contact
x4,,,footprints_stm32f4_board:Via,gnd_contact
x5,,,footprints_stm32f4_board:Via,gnd_contact
x6,,,footprints_stm32f4_board:Via,gnd_contact
x7,,,footprints_stm32f4_board:Via,gnd_contact
x8,,,footprints_stm32f4_board:Via,gnd_contact
x9,,,footprints_stm32f4_board:Via,gnd_contact
